Issue_ID,Application_ID,Issue_Type,Severity,Original_Value,Corrected_Value,Resolution,Detected_By
DQ00001,APX1095548,Duplicate_Application_ID,Critical,APX1095548,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00002,APX1034539,Duplicate_Application_ID,Critical,APX1034539,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00003,APX1051887,Duplicate_Application_ID,Critical,APX1051887,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00004,APX1059149,Duplicate_Application_ID,Critical,APX1059149,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00005,APX1013165,Duplicate_Application_ID,Critical,APX1013165,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00006,APX1099253,Duplicate_Application_ID,Critical,APX1099253,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00007,APX1093551,Duplicate_Application_ID,Critical,APX1093551,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00008,APX1091091,Duplicate_Application_ID,Critical,APX1091091,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00009,APX1096472,Duplicate_Application_ID,Critical,APX1096472,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00010,APX1019993,Duplicate_Application_ID,Critical,APX1019993,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00011,APX1063934,Duplicate_Application_ID,Critical,APX1063934,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00012,APX1073475,Duplicate_Application_ID,Critical,APX1073475,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00013,APX1036305,Duplicate_Application_ID,Critical,APX1036305,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00014,APX1049907,Duplicate_Application_ID,Critical,APX1049907,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00015,APX1071071,Duplicate_Application_ID,Critical,APX1071071,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00016,APX1008893,Duplicate_Application_ID,Critical,APX1008893,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00017,APX1035271,Duplicate_Application_ID,Critical,APX1035271,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00018,APX1057030,Duplicate_Application_ID,Critical,APX1057030,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00019,APX1087077,Duplicate_Application_ID,Critical,APX1087077,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00020,APX1028424,Duplicate_Application_ID,Critical,APX1028424,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00021,APX1007190,Duplicate_Application_ID,Critical,APX1007190,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00022,APX1023459,Duplicate_Application_ID,Critical,APX1023459,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00023,APX1084046,Duplicate_Application_ID,Critical,APX1084046,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00024,APX1069359,Duplicate_Application_ID,Critical,APX1069359,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00025,APX1053428,Duplicate_Application_ID,Critical,APX1053428,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00026,APX1045772,Duplicate_Application_ID,Critical,APX1045772,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00027,APX1097053,Duplicate_Application_ID,Critical,APX1097053,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00028,APX1066890,Duplicate_Application_ID,Critical,APX1066890,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00029,APX1077654,Duplicate_Application_ID,Critical,APX1077654,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00030,APX1014161,Duplicate_Application_ID,Critical,APX1014161,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00031,APX1007490,Duplicate_Application_ID,Critical,APX1007490,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00032,APX1068125,Duplicate_Application_ID,Critical,APX1068125,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00033,APX1059404,Duplicate_Application_ID,Critical,APX1059404,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00034,APX1071797,Duplicate_Application_ID,Critical,APX1071797,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00035,APX1050225,Duplicate_Application_ID,Critical,APX1050225,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00036,APX1021908,Duplicate_Application_ID,Critical,APX1021908,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00037,APX1089063,Duplicate_Application_ID,Critical,APX1089063,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00038,APX1002549,Duplicate_Application_ID,Critical,APX1002549,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00039,APX1059588,Duplicate_Application_ID,Critical,APX1059588,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00040,APX1060422,Duplicate_Application_ID,Critical,APX1060422,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00041,APX1031101,Duplicate_Application_ID,Critical,APX1031101,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00042,APX1053102,Duplicate_Application_ID,Critical,APX1053102,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00043,APX1024567,Duplicate_Application_ID,Critical,APX1024567,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00044,APX1000601,Duplicate_Application_ID,Critical,APX1000601,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00045,APX1047224,Duplicate_Application_ID,Critical,APX1047224,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00046,APX1026602,Duplicate_Application_ID,Critical,APX1026602,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00047,APX1032245,Duplicate_Application_ID,Critical,APX1032245,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00048,APX1016040,Duplicate_Application_ID,Critical,APX1016040,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00049,APX1015238,Duplicate_Application_ID,Critical,APX1015238,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00050,APX1098495,Duplicate_Application_ID,Critical,APX1098495,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00051,APX1012323,Duplicate_Application_ID,Critical,APX1012323,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00052,APX1015649,Duplicate_Application_ID,Critical,APX1015649,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00053,APX1067736,Duplicate_Application_ID,Critical,APX1067736,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00054,APX1011363,Duplicate_Application_ID,Critical,APX1011363,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00055,APX1037114,Duplicate_Application_ID,Critical,APX1037114,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00056,APX1026166,Duplicate_Application_ID,Critical,APX1026166,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00057,APX1031511,Duplicate_Application_ID,Critical,APX1031511,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00058,APX1059809,Duplicate_Application_ID,Critical,APX1059809,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00059,APX1092286,Duplicate_Application_ID,Critical,APX1092286,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00060,APX1046988,Duplicate_Application_ID,Critical,APX1046988,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00061,APX1013248,Duplicate_Application_ID,Critical,APX1013248,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00062,APX1039151,Duplicate_Application_ID,Critical,APX1039151,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00063,APX1006676,Duplicate_Application_ID,Critical,APX1006676,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00064,APX1050973,Duplicate_Application_ID,Critical,APX1050973,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00065,APX1056619,Duplicate_Application_ID,Critical,APX1056619,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00066,APX1039129,Duplicate_Application_ID,Critical,APX1039129,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00067,APX1022412,Duplicate_Application_ID,Critical,APX1022412,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00068,APX1007829,Duplicate_Application_ID,Critical,APX1007829,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00069,APX1079727,Duplicate_Application_ID,Critical,APX1079727,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00070,APX1093388,Duplicate_Application_ID,Critical,APX1093388,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00071,APX1000085,Duplicate_Application_ID,Critical,APX1000085,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00072,APX1015456,Duplicate_Application_ID,Critical,APX1015456,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00073,APX1019496,Duplicate_Application_ID,Critical,APX1019496,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00074,APX1082468,Duplicate_Application_ID,Critical,APX1082468,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00075,APX1067838,Duplicate_Application_ID,Critical,APX1067838,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00076,APX1033181,Duplicate_Application_ID,Critical,APX1033181,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00077,APX1097582,Duplicate_Application_ID,Critical,APX1097582,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00078,APX1017895,Duplicate_Application_ID,Critical,APX1017895,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00079,APX1092449,Duplicate_Application_ID,Critical,APX1092449,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00080,APX1091514,Duplicate_Application_ID,Critical,APX1091514,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00081,APX1046156,Duplicate_Application_ID,Critical,APX1046156,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00082,APX1072109,Duplicate_Application_ID,Critical,APX1072109,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00083,APX1026285,Duplicate_Application_ID,Critical,APX1026285,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00084,APX1050939,Duplicate_Application_ID,Critical,APX1050939,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00085,APX1091144,Duplicate_Application_ID,Critical,APX1091144,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00086,APX1048743,Duplicate_Application_ID,Critical,APX1048743,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00087,APX1054816,Duplicate_Application_ID,Critical,APX1054816,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00088,APX1040380,Duplicate_Application_ID,Critical,APX1040380,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00089,APX1071803,Duplicate_Application_ID,Critical,APX1071803,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00090,APX1067243,Duplicate_Application_ID,Critical,APX1067243,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00091,APX1082235,Duplicate_Application_ID,Critical,APX1082235,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00092,APX1071587,Duplicate_Application_ID,Critical,APX1071587,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00093,APX1095554,Duplicate_Application_ID,Critical,APX1095554,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00094,APX1026674,Duplicate_Application_ID,Critical,APX1026674,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00095,APX1017844,Duplicate_Application_ID,Critical,APX1017844,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00096,APX1069528,Duplicate_Application_ID,Critical,APX1069528,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00097,APX1029294,Duplicate_Application_ID,Critical,APX1029294,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00098,APX1087837,Duplicate_Application_ID,Critical,APX1087837,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00099,APX1084748,Duplicate_Application_ID,Critical,APX1084748,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00100,APX1027724,Duplicate_Application_ID,Critical,APX1027724,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00101,APX1070393,Duplicate_Application_ID,Critical,APX1070393,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00102,APX1065324,Duplicate_Application_ID,Critical,APX1065324,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00103,APX1036247,Duplicate_Application_ID,Critical,APX1036247,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00104,APX1068492,Duplicate_Application_ID,Critical,APX1068492,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00105,APX1034139,Duplicate_Application_ID,Critical,APX1034139,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00106,APX1079909,Duplicate_Application_ID,Critical,APX1079909,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00107,APX1060772,Duplicate_Application_ID,Critical,APX1060772,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00108,APX1005838,Duplicate_Application_ID,Critical,APX1005838,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00109,APX1099618,Duplicate_Application_ID,Critical,APX1099618,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00110,APX1016373,Duplicate_Application_ID,Critical,APX1016373,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00111,APX1030092,Duplicate_Application_ID,Critical,APX1030092,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00112,APX1096234,Duplicate_Application_ID,Critical,APX1096234,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00113,APX1002227,Duplicate_Application_ID,Critical,APX1002227,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00114,APX1019536,Duplicate_Application_ID,Critical,APX1019536,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00115,APX1048852,Duplicate_Application_ID,Critical,APX1048852,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00116,APX1009664,Duplicate_Application_ID,Critical,APX1009664,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00117,APX1085517,Duplicate_Application_ID,Critical,APX1085517,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00118,APX1017396,Duplicate_Application_ID,Critical,APX1017396,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00119,APX1099940,Duplicate_Application_ID,Critical,APX1099940,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00120,APX1049667,Duplicate_Application_ID,Critical,APX1049667,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00121,APX1035203,Duplicate_Application_ID,Critical,APX1035203,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00122,APX1073900,Duplicate_Application_ID,Critical,APX1073900,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00123,APX1004294,Duplicate_Application_ID,Critical,APX1004294,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00124,APX1072930,Duplicate_Application_ID,Critical,APX1072930,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00125,APX1035131,Duplicate_Application_ID,Critical,APX1035131,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00126,APX1068237,Duplicate_Application_ID,Critical,APX1068237,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00127,APX1088562,Duplicate_Application_ID,Critical,APX1088562,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00128,APX1009840,Duplicate_Application_ID,Critical,APX1009840,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00129,APX1018373,Duplicate_Application_ID,Critical,APX1018373,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00130,APX1013798,Duplicate_Application_ID,Critical,APX1013798,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00131,APX1036993,Duplicate_Application_ID,Critical,APX1036993,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00132,APX1097784,Duplicate_Application_ID,Critical,APX1097784,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00133,APX1037575,Duplicate_Application_ID,Critical,APX1037575,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00134,APX1000746,Duplicate_Application_ID,Critical,APX1000746,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00135,APX1093764,Duplicate_Application_ID,Critical,APX1093764,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00136,APX1054967,Duplicate_Application_ID,Critical,APX1054967,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00137,APX1085676,Duplicate_Application_ID,Critical,APX1085676,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00138,APX1093756,Duplicate_Application_ID,Critical,APX1093756,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00139,APX1037018,Duplicate_Application_ID,Critical,APX1037018,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00140,APX1038207,Duplicate_Application_ID,Critical,APX1038207,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00141,APX1054109,Duplicate_Application_ID,Critical,APX1054109,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00142,APX1025525,Duplicate_Application_ID,Critical,APX1025525,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00143,APX1038364,Duplicate_Application_ID,Critical,APX1038364,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00144,APX1069569,Duplicate_Application_ID,Critical,APX1069569,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00145,APX1029406,Duplicate_Application_ID,Critical,APX1029406,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00146,APX1009356,Duplicate_Application_ID,Critical,APX1009356,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00147,APX1066868,Duplicate_Application_ID,Critical,APX1066868,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00148,APX1047799,Duplicate_Application_ID,Critical,APX1047799,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00149,APX1065202,Duplicate_Application_ID,Critical,APX1065202,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00150,APX1039404,Duplicate_Application_ID,Critical,APX1039404,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00151,APX1047546,Duplicate_Application_ID,Critical,APX1047546,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00152,APX1070356,Duplicate_Application_ID,Critical,APX1070356,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00153,APX1065987,Duplicate_Application_ID,Critical,APX1065987,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00154,APX1019435,Duplicate_Application_ID,Critical,APX1019435,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00155,APX1075138,Duplicate_Application_ID,Critical,APX1075138,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00156,APX1071991,Duplicate_Application_ID,Critical,APX1071991,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00157,APX1007474,Duplicate_Application_ID,Critical,APX1007474,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00158,APX1023014,Duplicate_Application_ID,Critical,APX1023014,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00159,APX1026986,Duplicate_Application_ID,Critical,APX1026986,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00160,APX1031957,Duplicate_Application_ID,Critical,APX1031957,,"Quarantine duplicate occurrence, retain first",duplicate_check
