Application_Date,Application_ID,Application_Month,Channel,Customer_Segment,Product_Type,Region,Branch_ID,Shift,Application_Received_Timestamp,Product_Risk_Class,Ownership_Complexity_Flag,Identity_Exception_History_Flag,Source_Channel_Risk,Enhanced_Due_Diligence_Flag,Verification_Risk_Score,Risk_Score,Risk_Tier,Products_Requested,Documents_Required,Complexity_Score,Application_Complexity,Opening_Backlog,Closing_Backlog,Effective_Capacity,Available_Staff,Senior_Reviewer_Count,KYC_Specialist_Count,System_Downtime_Minutes,Arrival_Rank_In_Shift,Queue_Length_At_Arrival,Queue_Position_At_Arrival,Documentation_Completeness_Defect,Document_Quality_Defect,Identity_Verification_Defect,Data_Capture_Defect,KYC_Processing_Defect,Product_Information_Defect,Defect_Count,Missing_Document_Flag,Document_Error_Flag,Identity_Mismatch_Flag,Documents_Submitted,Rework_Count,Rework_Flag,Rework_Minutes,Required_Manual_Review_Flag,Defect_Driven_Review_Flag,Manual_Review_Flag,Exception_Flag,Analyst_ID,Analyst_Workload_At_Assignment,Queue_Time_Minutes,Identity_Verification_Minutes,Document_Validation_Minutes,KYC_Batch_Wait_Minutes,KYC_Processing_Minutes,Manual_Review_Queue_Wait_Minutes,Manual_Review_Minutes,Abandonment_Flag,Application_Abandoned_Flag,Completed_Flag,Application_Status,Abandonment_Stage,Identity_Verification_Start,Identity_Verification_End,Document_Validation_Start,Document_Validation_End,KYC_Start,KYC_End,Manual_Review_Start,Manual_Review_End,Abandonment_Timestamp,Approval_Timestamp,Activation_Timestamp,Time_To_Approval_Hours,Time_To_Activation_Hours,Elapsed_Time_To_Abandonment_Hours,Elapsed_Process_Hours,Total_Onboarding_Hours,SLA_Target_Hours,SLA_Utilization,SLA_Margin_Hours,SLA_Met_Flag,First_Pass_Yield_Flag,Customer_Complaint_Flag,Prevention_Cost,Required_Manual_Review_Cost,Defect_Driven_Review_Cost,Rework_Cost,Repeat_Processing_Cost,Complaint_Cost,Abandonment_Cost,Expedited_Handling_Cost,Total_Prevention_Cost,Total_Appraisal_Cost,Total_Internal_Failure_Cost,Total_External_Failure_Cost,Total_COPQ,Total_Cost_of_Quality,COPQ_Rework_Cost,COPQ_Manual_Review_Cost,COPQ_Complaint_Cost,COPQ_Abandonment_Cost
2024-01-01,APX1000033,2024-01,Digital App,Retail Mass Market,Credit Card,Northern,BR-031,Morning,2024-01-01 00:44:46.323995571,2,0,0,2,0,15.3,15.3,Low,2,5,32,Medium,0.0,1.57,0.43,0.05,0.01,0.02,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0,0,0,0,AN-0031,0,38.6,15.6,25.4,159.8,69.7,0.0,0.0,0,0,1,Completed,,2024-01-01 01:23:22.323995571,2024-01-01 01:38:58.323995571,2024-01-01 01:38:58.323995571,2024-01-01 02:04:22.323995571,2024-01-01 04:44:10.323995571,2024-01-01 05:53:52.323995571,,,,2024-01-01 05:53:52.323995571,2024-01-01 06:29:05.507447331,5.151666666666666,5.7386620699333335,,5.7386620699333335,5.7386620699333335,16.0,0.35866637937083334,10.261337930066667,1.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024-01-01,APX1000019,2024-01,Digital App,Small Business,Personal Loan,Northern,BR-006,Evening,2024-01-01 00:53:02.280040555,2,0,0,2,0,31.7,31.7,Low,1,5,24,Low,0.0,0.0,1.02,0.12,0.03,0.05,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,5,1,1,30.8,0,0,0,0,AN-0126,0,38.1,15.7,15.5,71.1,29.7,0.0,0.0,0,0,1,Completed,,2024-01-01 01:31:08.280040555,2024-01-01 01:46:50.280040555,2024-01-01 01:46:50.280040555,2024-01-01 02:02:20.280040555,2024-01-01 03:13:26.280040555,2024-01-01 03:43:08.280040555,,,,2024-01-01 04:13:56.280040555,2024-01-01 04:38:26.803126177,3.348333333333333,3.7568119682283334,,3.7568119682283334,3.7568119682283334,8.0,0.4696014960285417,4.243188031771666,1.0,0,0,4.0,0.0,0.0,35.0,20.0,0.0,0.0,0.0,4.0,0.0,55.0,0.0,55.0,59.0,35.0,0.0,0.0,0.0
2024-01-01,APX1000044,2024-01,Digital App,Retail Affluent,Credit Card,Western,BR-049,Afternoon,2024-01-01 00:56:12.204458433,2,0,0,2,0,27.6,27.6,Low,1,4,21,Low,0.0,0.0,1.44,0.17,0.03,0.04,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,4,2,1,42.3,0,0,0,0,AN-0109,0,45.9,8.4,9.8,59.3,30.4,0.0,0.0,0,0,1,Completed,,2024-01-01 01:42:06.204458433,2024-01-01 01:50:30.204458433,2024-01-01 01:50:30.204458433,2024-01-01 02:00:18.204458433,2024-01-01 02:59:36.204458433,2024-01-01 03:30:00.204458433,,,,2024-01-01 04:12:18.204458433,2024-01-01 04:55:56.201897919,3.2683333333333335,3.9955548443016666,,3.9955548443016666,3.9955548443016666,8.0,0.49944435553770833,4.004445155698333,1.0,0,0,4.0,0.0,0.0,70.0,40.0,0.0,0.0,0.0,4.0,0.0,110.0,0.0,110.0,114.0,70.0,0.0,0.0,0.0
2024-01-01,APX1000031,2024-01,Digital App,Retail Mass Market,Credit Card,Northern,BR-046,Afternoon,2024-01-01 01:01:37.335758336,2,0,0,2,0,23.1,23.1,Low,1,4,21,Low,0.0,0.81,1.19,0.14,0.03,0.03,0.0,1,0,1,1,0,0,0,0,0,1,1,0,0,2,1,1,20.3,0,0,0,0,AN-0106,0,35.6,22.3,53.1,40.8,22.2,0.0,0.0,0,0,1,Completed,,2024-01-01 01:37:13.335758336,2024-01-01 01:59:31.335758336,2024-01-01 01:59:31.335758336,2024-01-01 02:52:37.335758336,2024-01-01 03:33:25.335758336,2024-01-01 03:55:37.335758336,,,,2024-01-01 04:15:55.335758336,2024-01-01 04:37:52.382461898,3.2383333333333333,3.6041796398783332,,3.6041796398783332,3.6041796398783332,8.0,0.45052245498479165,4.395820360121666,1.0,0,0,4.0,0.0,0.0,35.0,20.0,0.0,0.0,0.0,4.0,0.0,55.0,0.0,55.0,59.0,35.0,0.0,0.0,0.0
2024-01-01,APX1000061,2024-01,Digital App,Small Business,Transactional Account,Northern,BR-031,Morning,2024-01-01 01:29:09.318466431,1,0,0,2,0,19.5,19.5,Low,1,3,10,Low,0.0,1.57,0.43,0.05,0.01,0.02,0.0,2,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0,AN-0031,1,33.1,12.3,7.5,91.3,28.4,0.0,0.0,0,0,1,Completed,,2024-01-01 02:02:15.318466431,2024-01-01 02:14:33.318466431,2024-01-01 02:14:33.318466431,2024-01-01 02:22:03.318466431,2024-01-01 03:53:21.318466431,2024-01-01 04:21:45.318466431,,,,2024-01-01 04:21:45.318466431,2024-01-01 04:41:15.968064585,2.8766666666666665,3.201847110598333,,3.201847110598333,3.201847110598333,8.0,0.40023088882479163,4.798152889401667,1.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024-01-01,APX1000057,2024-01,Digital App,Retail Mass Market,Transactional Account,Southern,BR-037,Afternoon,2024-01-01 02:04:34.806199854,1,0,0,2,0,18.5,18.5,Low,1,3,10,Low,0.0,0.0,1.53,0.18,0.05,0.07,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,43.4,0,0,0,0,AN-0097,0,35.2,17.7,12.0,49.3,30.9,0.0,0.0,0,0,1,Completed,,2024-01-01 02:39:46.806199854,2024-01-01 02:57:28.806199854,2024-01-01 02:57:28.806199854,2024-01-01 03:09:28.806199854,2024-01-01 03:58:46.806199854,2024-01-01 04:29:40.806199854,,,,2024-01-01 05:13:04.806199854,2024-01-01 05:28:57.260505072,3.1416666666666666,3.406237307005,,3.406237307005,3.406237307005,8.0,0.425779663375625,4.593762692995,1.0,0,0,4.0,0.0,0.0,35.0,20.0,0.0,0.0,0.0,4.0,0.0,55.0,0.0,55.0,59.0,35.0,0.0,0.0,0.0
2024-01-01,APX1000014,2024-01,Digital App,Retail Mass Market,Savings Account,Central,BR-015,Evening,2024-01-01 03:07:14.873010333,1,0,0,2,0,23.0,23.0,Low,1,3,10,Low,0.0,0.06,0.94,0.11,0.03,0.02,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0,AN-0135,0,18.5,13.5,26.9,96.1,33.1,0.0,0.0,0,0,1,Completed,,2024-01-01 03:25:44.873010333,2024-01-01 03:39:14.873010333,2024-01-01 03:39:14.873010333,2024-01-01 04:06:08.873010333,2024-01-01 05:42:14.873010333,2024-01-01 06:15:20.873010333,,,,2024-01-01 06:15:20.873010333,2024-01-01 06:32:19.083051729,3.135,3.41783612261,,3.41783612261,3.41783612261,8.0,0.42722951532625,4.58216387739,1.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024-01-01,APX1000063,2024-01,Digital App,Retail Affluent,Personal Loan,Northern,BR-021,Evening,2024-01-01 03:22:53.704193142,2,0,0,2,0,33.2,33.2,Low,2,6,35,Medium,0.0,0.15,0.85,0.1,0.03,0.03,0.0,1,0,1,1,0,0,0,0,0,1,1,0,0,5,0,0,0.0,0,0,0,0,AN-0141,0,23.0,17.2,42.2,67.4,67.6,0.0,0.0,0,0,1,Completed,,2024-01-01 03:45:53.704193142,2024-01-01 04:03:05.704193142,2024-01-01 04:03:05.704193142,2024-01-01 04:45:17.704193142,2024-01-01 05:52:41.704193142,2024-01-01 07:00:17.704193142,,,,2024-01-01 07:00:17.704193142,2024-01-01 07:28:49.850926842,3.6233333333333335,4.0989296482499995,,4.0989296482499995,4.0989296482499995,16.0,0.25618310301562497,11.90107035175,1.0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024-01-01,APX1000056,2024-01,Digital App,Student,Personal Loan,Central,BR-005,Afternoon,2024-01-01 03:43:37.627824392,2,0,0,2,0,30.1,30.1,Low,2,6,35,Medium,0.0,0.38,1.62,0.19,0.05,0.05,0.0,2,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0,0,0,0,AN-0065,1,46.8,10.3,23.9,82.0,42.3,0.0,0.0,0,0,1,Completed,,2024-01-01 04:30:25.627824392,2024-01-01 04:40:43.627824392,2024-01-01 04:40:43.627824392,2024-01-01 05:04:37.627824392,2024-01-01 06:26:37.627824392,2024-01-01 07:08:55.627824392,,,,2024-01-01 07:08:55.627824392,2024-01-01 07:16:30.020911562,3.421666666666667,3.547886968658333,,3.547886968658333,3.547886968658333,16.0,0.22174293554114582,12.452113031341668,1.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024-01-01,APX1000003,2024-01,Digital App,Retail Mass Market,Transactional Account,Central,BR-015,Morning,2024-01-01 04:02:05.104678495,1,0,0,2,0,22.6,22.6,Low,1,3,10,Low,0.0,0.04,1.96,0.23,0.05,0.09,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0,AN-0015,0,30.3,11.6,29.9,99.8,32.2,0.0,0.0,0,0,1,Completed,,2024-01-01 04:32:23.104678495,2024-01-01 04:43:59.104678495,2024-01-01 04:43:59.104678495,2024-01-01 05:13:53.104678495,2024-01-01 06:53:41.104678495,2024-01-01 07:25:53.104678495,,,,2024-01-01 07:25:53.104678495,2024-01-01 07:35:02.943485023,3.3966666666666665,3.54939966848,,3.54939966848,3.54939966848,8.0,0.44367495856,4.4506003315200005,1.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024-01-01,APX1000059,2024-01,Digital App,Retail Mass Market,Personal Loan,Western,BR-059,Evening,2024-01-01 04:06:35.669650795,2,0,0,2,0,25.2,25.2,Low,3,7,46,Medium,0.0,0.57,0.43,0.05,0.01,0.01,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0,0,0,0,0,AN-0179,0,106.9,20.4,56.7,50.0,33.2,0.0,0.0,0,0,1,Completed,,2024-01-01 05:53:29.669650795,2024-01-01 06:13:53.669650795,2024-01-01 06:13:53.669650795,2024-01-01 07:10:35.669650795,2024-01-01 08:00:35.669650795,2024-01-01 08:33:47.669650795,,,,2024-01-01 08:33:47.669650795,2024-01-01 08:58:34.897232383,4.453333333333333,4.866452105996666,,4.866452105996666,4.866452105996666,16.0,0.30415325662479165,11.133547894003334,1.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024-01-01,APX1000013,2024-01,Digital App,Retail Mass Market,Savings Account,Eastern,BR-003,Afternoon,2024-01-01 04:43:20.790185095,1,0,0,2,0,14.4,14.4,Low,1,3,10,Low,0.0,1.81,1.19,0.14,0.05,0.04,0.0,2,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0,AN-0063,1,27.3,16.3,11.7,81.1,23.9,0.0,0.0,0,0,1,Completed,,2024-01-01 05:10:38.790185095,2024-01-01 05:26:56.790185095,2024-01-01 05:26:56.790185095,2024-01-01 05:38:38.790185095,2024-01-01 06:59:44.790185095,2024-01-01 07:23:38.790185095,,,,2024-01-01 07:23:38.790185095,2024-01-01 07:49:38.650651597,2.671666666666667,3.104961240695,,3.104961240695,3.104961240695,8.0,0.388120155086875,4.895038759305001,1.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024-01-01,APX1000025,2024-01,Digital App,Retail Mass Market,Credit Card,Southern,BR-002,Evening,2024-01-01 06:17:39.865960557,2,0,0,2,0,28.0,28.0,Low,2,5,32,Medium,0.0,2.06,0.94,0.11,0.03,0.03,0.0,2,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0,0,0,0,AN-0122,1,47.6,9.7,16.0,66.9,25.3,0.0,0.0,0,0,1,Completed,,2024-01-01 07:05:15.865960557,2024-01-01 07:14:57.865960557,2024-01-01 07:14:57.865960557,2024-01-01 07:30:57.865960557,2024-01-01 08:37:51.865960557,2024-01-01 09:03:09.865960557,,,,2024-01-01 09:03:09.865960557,2024-01-01 09:33:36.330399831,2.7583333333333333,3.2656845664649996,,3.2656845664649996,3.2656845664649996,16.0,0.20410528540406248,12.734315433535,1.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
