Date,Branch_ID,Shift,Local_State_Signal
2024-01-01,BR-001,Afternoon,False
2024-01-02,BR-001,Afternoon,False
2024-01-03,BR-001,Afternoon,False
2024-01-04,BR-001,Afternoon,False
2024-01-05,BR-001,Afternoon,False
2024-01-06,BR-001,Afternoon,False
2024-01-07,BR-001,Afternoon,False
2024-01-08,BR-001,Afternoon,False
2024-01-09,BR-001,Afternoon,False
2024-01-10,BR-001,Afternoon,False
2024-01-11,BR-001,Afternoon,False
2024-01-12,BR-001,Afternoon,False
2024-01-13,BR-001,Afternoon,False
2024-01-14,BR-001,Afternoon,False
2024-01-15,BR-001,Afternoon,False
2024-01-16,BR-001,Afternoon,False
2024-01-17,BR-001,Afternoon,False
2024-01-18,BR-001,Afternoon,False
2024-01-19,BR-001,Afternoon,False
2024-01-20,BR-001,Afternoon,False
2024-01-21,BR-001,Afternoon,False
2024-01-22,BR-001,Afternoon,False
2024-01-23,BR-001,Afternoon,False
2024-01-24,BR-001,Afternoon,False
2024-01-25,BR-001,Afternoon,False
2024-01-26,BR-001,Afternoon,False
2024-01-27,BR-001,Afternoon,False
2024-01-28,BR-001,Afternoon,False
2024-01-29,BR-001,Afternoon,False
2024-01-30,BR-001,Afternoon,False
2024-01-31,BR-001,Afternoon,False
2024-02-01,BR-001,Afternoon,False
2024-02-02,BR-001,Afternoon,False
2024-02-03,BR-001,Afternoon,False
2024-02-04,BR-001,Afternoon,False
2024-02-05,BR-001,Afternoon,False
2024-02-06,BR-001,Afternoon,False
2024-02-07,BR-001,Afternoon,False
2024-02-08,BR-001,Afternoon,False
2024-02-09,BR-001,Afternoon,False
2024-02-10,BR-001,Afternoon,False
2024-02-11,BR-001,Afternoon,False
2024-02-12,BR-001,Afternoon,False
2024-02-13,BR-001,Afternoon,False
2024-02-14,BR-001,Afternoon,False
2024-02-15,BR-001,Afternoon,False
2024-02-16,BR-001,Afternoon,False
2024-02-17,BR-001,Afternoon,False
2024-02-18,BR-001,Afternoon,False
2024-02-19,BR-001,Afternoon,False
2024-02-20,BR-001,Afternoon,False
2024-02-21,BR-001,Afternoon,False
2024-02-22,BR-001,Afternoon,False
2024-02-23,BR-001,Afternoon,False
2024-02-24,BR-001,Afternoon,False
2024-02-25,BR-001,Afternoon,False
2024-02-26,BR-001,Afternoon,False
2024-02-27,BR-001,Afternoon,False
2024-02-28,BR-001,Afternoon,False
2024-02-29,BR-001,Afternoon,False
2024-03-01,BR-001,Afternoon,False
2024-03-02,BR-001,Afternoon,False
2024-03-03,BR-001,Afternoon,False
2024-03-04,BR-001,Afternoon,False
2024-03-05,BR-001,Afternoon,False
2024-03-06,BR-001,Afternoon,False
2024-03-07,BR-001,Afternoon,False
2024-03-08,BR-001,Afternoon,False
2024-03-09,BR-001,Afternoon,False
2024-03-10,BR-001,Afternoon,False
2024-03-11,BR-001,Afternoon,False
2024-03-12,BR-001,Afternoon,False
2024-03-13,BR-001,Afternoon,False
2024-03-14,BR-001,Afternoon,False
2024-03-15,BR-001,Afternoon,False
2024-03-16,BR-001,Afternoon,False
2024-03-17,BR-001,Afternoon,False
2024-03-18,BR-001,Afternoon,False
2024-03-19,BR-001,Afternoon,False
2024-03-20,BR-001,Afternoon,False
2024-03-21,BR-001,Afternoon,False
2024-03-22,BR-001,Afternoon,False
2024-03-23,BR-001,Afternoon,False
2024-03-24,BR-001,Afternoon,False
2024-03-25,BR-001,Afternoon,False
2024-03-26,BR-001,Afternoon,False
2024-03-27,BR-001,Afternoon,False
2024-03-28,BR-001,Afternoon,False
2024-03-29,BR-001,Afternoon,False
2024-03-30,BR-001,Afternoon,False
2024-03-31,BR-001,Afternoon,False
2024-04-01,BR-001,Afternoon,False
2024-04-02,BR-001,Afternoon,False
2024-04-03,BR-001,Afternoon,False
2024-04-04,BR-001,Afternoon,False
2024-04-05,BR-001,Afternoon,False
2024-04-06,BR-001,Afternoon,False
2024-04-07,BR-001,Afternoon,False
2024-04-08,BR-001,Afternoon,False
2024-04-09,BR-001,Afternoon,False
2024-04-10,BR-001,Afternoon,False
2024-04-11,BR-001,Afternoon,False
2024-04-12,BR-001,Afternoon,False
2024-04-13,BR-001,Afternoon,False
2024-04-14,BR-001,Afternoon,False
2024-04-15,BR-001,Afternoon,False
2024-04-16,BR-001,Afternoon,False
2024-04-17,BR-001,Afternoon,False
2024-04-18,BR-001,Afternoon,False
2024-04-19,BR-001,Afternoon,False
2024-04-20,BR-001,Afternoon,False
2024-04-21,BR-001,Afternoon,False
2024-04-22,BR-001,Afternoon,False
2024-04-23,BR-001,Afternoon,False
2024-04-24,BR-001,Afternoon,False
2024-04-25,BR-001,Afternoon,False
2024-04-26,BR-001,Afternoon,False
2024-04-27,BR-001,Afternoon,False
2024-04-28,BR-001,Afternoon,False
2024-04-29,BR-001,Afternoon,False
2024-04-30,BR-001,Afternoon,False
2024-05-01,BR-001,Afternoon,False
2024-05-02,BR-001,Afternoon,False
2024-05-03,BR-001,Afternoon,False
2024-05-04,BR-001,Afternoon,False
2024-05-05,BR-001,Afternoon,False
2024-05-06,BR-001,Afternoon,False
2024-05-07,BR-001,Afternoon,False
2024-05-08,BR-001,Afternoon,False
2024-05-09,BR-001,Afternoon,False
2024-05-10,BR-001,Afternoon,False
2024-05-11,BR-001,Afternoon,False
2024-05-12,BR-001,Afternoon,False
2024-05-13,BR-001,Afternoon,False
2024-05-14,BR-001,Afternoon,False
2024-05-15,BR-001,Afternoon,False
2024-05-16,BR-001,Afternoon,False
2024-05-17,BR-001,Afternoon,False
2024-05-18,BR-001,Afternoon,False
2024-05-19,BR-001,Afternoon,False
2024-05-20,BR-001,Afternoon,False
2024-05-21,BR-001,Afternoon,False
2024-05-22,BR-001,Afternoon,False
2024-05-23,BR-001,Afternoon,False
2024-05-24,BR-001,Afternoon,False
2024-05-25,BR-001,Afternoon,False
2024-05-26,BR-001,Afternoon,False
2024-05-27,BR-001,Afternoon,False
2024-05-28,BR-001,Afternoon,False
2024-05-29,BR-001,Afternoon,False
2024-05-30,BR-001,Afternoon,False
2024-05-31,BR-001,Afternoon,False
2024-06-01,BR-001,Afternoon,False
2024-06-02,BR-001,Afternoon,False
2024-06-03,BR-001,Afternoon,False
2024-06-04,BR-001,Afternoon,False
2024-06-05,BR-001,Afternoon,False
2024-06-06,BR-001,Afternoon,False
2024-06-07,BR-001,Afternoon,False
2024-06-08,BR-001,Afternoon,False
2024-06-09,BR-001,Afternoon,False
2024-06-10,BR-001,Afternoon,False
2024-06-11,BR-001,Afternoon,False
2024-06-12,BR-001,Afternoon,False
2024-06-13,BR-001,Afternoon,False
2024-06-14,BR-001,Afternoon,False
2024-06-15,BR-001,Afternoon,False
2024-06-16,BR-001,Afternoon,False
2024-06-17,BR-001,Afternoon,False
2024-06-18,BR-001,Afternoon,False
2024-06-19,BR-001,Afternoon,False
2024-06-20,BR-001,Afternoon,False
2024-06-21,BR-001,Afternoon,False
2024-06-22,BR-001,Afternoon,False
2024-06-23,BR-001,Afternoon,False
2024-06-24,BR-001,Afternoon,False
2024-06-25,BR-001,Afternoon,False
2024-06-26,BR-001,Afternoon,False
2024-06-27,BR-001,Afternoon,False
2024-06-28,BR-001,Afternoon,False
2024-06-29,BR-001,Afternoon,False
2024-06-30,BR-001,Afternoon,False
2024-07-01,BR-001,Afternoon,False
2024-07-02,BR-001,Afternoon,False
2024-07-03,BR-001,Afternoon,False
2024-07-04,BR-001,Afternoon,False
2024-07-05,BR-001,Afternoon,False
2024-07-06,BR-001,Afternoon,False
2024-07-07,BR-001,Afternoon,False
2024-07-08,BR-001,Afternoon,False
2024-07-09,BR-001,Afternoon,False
2024-07-10,BR-001,Afternoon,False
